매장명,주소,위도,경도
선릉점,"서울 강남구 언주로 98길 26 (역삼동 700-35), 1층",,
선정릉점,"서울 강남구 선릉로 577 (역삼동 682-20) POS TOWER, 1층",,
성수낙낙점,서울특별시 성동구 아차산로17길 48,,
세관사거리점,서울 강남구 언주로 702 (논현동115-13),,
센텀시티점,"부산광역시 해운대구 센텀동로 9, 1층 126호",,
수내역점,주소 경기 성남시 분당구 수내로46번길 26,,
수서역점,"서울특별시 강남구 광평로 51길 8, 1층 111호",,
수송미장점,"전라북도 군산시 수송동로 53, 1층",,
숙대입구역점,서울특별시 용산구 갈월동 92 1층,,
순천오천점,"전라남도 순천시 순천만정원로 86, 105호",,
시흥은계점,"경기도 시흥시 은계번영길 11,111호",,
신논현역점,서울 서초구 서초동 1303-1,,
신중동점,경기도 부천시 원미구 중동 1149,,
신촌로터리점,서울특별시 마포구 노고산동 57-14,,
신촌역점,서울 서대문구 신촌로 113 1층,,
신촌점,서울시 서대문구 창천동 13-29,,
약수역점,서울시 중구 신당동 369-9,,
양재역점,"서울 강남구 강남대로 240 (도곡동 953-1, 양재SK허브)",,
양재이안점,"서울특별시 서초구 강남대로34길 7, 1층",,
양재점,서울 서초구  강남대로 221  (양재동 23),,
양천향교역점,"서울특별시 강서구 마곡중앙8로 5길 63, 1층 112호",,
언주역점,서울시 강남구 역삼동 650,,
여의도역점,서울특별시 영등포구 여의도동 26-1,,
여의도파크원점,"서울특별시 영등포구 여의대로 108, 파크원타워1 지하2층",,
역삼대로점,서울 강남구 논현로 427-1 (역삼동 738-27),,
역삼삼보점,서울특별시 강남구 역삼동 647-13,,
역삼시티점,서울 강남구 논현로85길 52 B102호,,
역삼역점,"서울 강남구 강남대로 94길 95 (역삼동 644-19), 1층",,
역삼초교사거리점,서울 강남구 역삼동829-17,,
역삼GFC점,"서울 강남구 테헤란로26길 10 (역삼동 736-55) 성보빌딩, 1층",,
역삼GS점,서울 강남구 논현로 94길 13,,
왕십리점,서울특별시 성동구 왕십리로 315,,
용인수지구청점,경기도 용인시 수지구 수지로296번길 51-7,,
원주무실점,"강원도 원주시 능라동길 47, 1층",,
위례중앙점,"서울특별시 송파구 위례광장로 120, 상가동 132호",,
유성구청점,"대전광역시 유성구 어은로 56, 지상1층",,
을지로3가역점,"서울시 중구 을지로 108, 1층 102호(을지로3가)",,
을지병원사거리점,서울 강남구 논현동6-21,,
의정부역점,"경기도 의정부시 시민로 123, 1층 (의정부동)",,
인천동춘점,인천광역시 연수구 동춘동 936-1,,
인천시청점,"인천광역시 남동구 인주대로 623번길 26, 1층 103호",,
잠실방이점,"서울특별시 송파구 오금로11길 65, 103호",,
잠실새내점,서울 송파구 석촌호수로 64 (잠실동 208-16),,
